FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case.Fatality_Ratio
NA,,Faroe Islands,Denmark,16/10/2020 04:24,61.8926,-6.9118,480,0,471,9,"Faroe Islands, Denmark",982.2981684,0
NA,,Greenland,Denmark,16/10/2020 04:24,71.7069,-42.6043,16,0,14,2,"Greenland, Denmark",28.18290707,0
NA,,,Denmark,16/10/2020 04:24,56.2639,9.5018,34023,677,28118,5228,Denmark,587.3930869,1.989830409
NA,,,Diamond Princess,16/10/2020 04:24,NA,NA,712,13,659,40,Diamond Princess,NA,1.825842697
NA,,,Djibouti,16/10/2020 04:24,11.8251,42.5903,5443,61,5368,14,Djibouti,550.909816,1.120705493
NA,,,Dominica,16/10/2020 04:24,15.415,-61.371,33,0,29,4,Dominica,45.83906322,0
NA,,,Dominican Republic,16/10/2020 04:24,18.7357,-70.1627,120066,2189,96152,21725,Dominican Republic,1106.812892,1.823163927
NA,,,Ecuador,16/10/2020 04:24,-1.8312,-78.1834,150360,12306,128134,9920,Ecuador,852.233116,8.184357542
NA,,,Egypt,16/10/2020 04:24,26.820553,30.802498,105033,6088,98011,934,Egypt,102.6370379,5.796273552
NA,,,El Salvador,16/10/2020 04:24,13.7942,-88.8965,31061,908,26311,3842,El Salvador,478.87816,2.923279997
NA,,,Equatorial Guinea,16/10/2020 04:24,1.6508,10.2679,5068,83,4954,31,Equatorial Guinea,361.2298064,1.637726914
NA,,,Eritrea,16/10/2020 04:24,15.1794,39.7823,422,0,376,46,Eritrea,11.89930034,0
NA,,,Estonia,16/10/2020 04:24,58.5953,25.0136,3980,68,3093,819,Estonia,300.0288721,1.708542714
NA,,,Eswatini,16/10/2020 04:24,-26.5225,31.4659,5733,115,5375,243,Eswatini,494.1542747,2.005930577
NA,,,Ethiopia,16/10/2020 04:24,9.145,40.4897,87169,1325,40988,44856,Ethiopia,75.82314132,1.520035793
NA,,,Fiji,16/10/2020 04:24,-17.7134,178.065,32,2,30,0,Fiji,3.569659678,6.25
NA,,,Finland,16/10/2020 04:24,61.92411,25.748151,12944,350,9100,3494,Finland,233.6159321,2.703955501
NA,,French Guiana,France,16/10/2020 04:24,4,-53,10233,69,9894,270,"French Guiana, France",3426.051788,0.674289065
NA,,French Polynesia,France,16/10/2020 04:24,-17.6797,-149.4068,3573,13,2487,1073,"French Polynesia, France",1271.964799,0.36383991
NA,,Guadeloupe,France,16/10/2020 04:24,16.265,-61.551,6908,96,2199,4613,"Guadeloupe, France",1726.451852,1.389693109
NA,,Martinique,France,16/10/2020 04:24,14.6415,-61.0242,2257,24,98,2135,"Martinique, France",601.4416479,1.06335844
NA,,Mayotte,France,16/10/2020 04:24,-12.8275,45.166244,4030,43,2964,1023,"Mayotte, France",1477.202333,1.066997519
NA,,New Caledonia,France,16/10/2020 04:24,-20.904305,165.618042,27,0,27,0,"New Caledonia, France",9.457390951,0
NA,,Reunion,France,16/10/2020 04:24,-21.1151,55.5364,4678,17,3994,667,"Reunion, France",522.5017536,0.363403164
NA,,Saint Barthelemy,France,16/10/2020 04:24,17.9,-62.8333,67,0,55,12,"Saint Barthelemy, France",677.7946383,0
NA,,Saint Pierre and Miquelon,France,16/10/2020 04:24,46.8852,-56.3159,16,0,12,4,"Saint Pierre and Miquelon, France",276.1000863,0
NA,,St Martin,France,16/10/2020 04:24,18.0708,-63.0501,501,8,380,113,"St Martin, France",1295.94661,1.596806387
NA,,,France,16/10/2020 04:24,46.2276,2.2137,818707,32876,84933,700898,France,1254.271411,4.015600209
NA,,,Gabon,16/10/2020 04:24,-0.8037,11.6094,8869,54,8395,420,Gabon,398.4763637,0.608862329
NA,,,Gambia,16/10/2020 04:24,13.4432,-15.3101,3644,118,2646,880,Gambia,150.7863733,3.23819978
NA,,,Georgia,16/10/2020 04:24,42.3154,43.3569,14440,113,7367,6960,Georgia,361.9796073,0.782548476
NA,,Baden-Wurttemberg,Germany,16/10/2020 04:24,48.6616,9.3501,57455,1920,47737,7798,"Baden-Wurttemberg, Germany",519.037253,3.341745714
NA,,Bayern,Germany,16/10/2020 04:24,48.7904,11.4979,76680,2702,65787,8191,"Bayern, Germany",586.385532,3.523735003
NA,,Berlin,Germany,16/10/2020 04:24,52.52,13.405,20088,239,15652,4197,"Berlin, Germany",551.1374206,1.189765034
NA,,Brandenburg,Germany,16/10/2020 04:24,52.4125,12.5316,5229,177,4342,710,"Brandenburg, Germany",208.1677062,3.384968445
NA,,Bremen,Germany,16/10/2020 04:24,53.0793,8.8017,3377,62,2428,887,"Bremen, Germany",494.4464455,1.835949067
NA,,Hamburg,Germany,16/10/2020 04:24,53.5511,9.9937,9456,278,7517,1661,"Hamburg, Germany",513.583959,2.939932318
NA,,Hessen,Germany,16/10/2020 04:24,50.6521,9.1624,24151,571,19270,4310,"Hessen, Germany",385.44105,2.364291334
NA,,Mecklenburg-Vorpommern,Germany,16/10/2020 04:24,53.6127,12.4296,1595,20,1270,305,"Mecklenburg-Vorpommern, Germany",99.08832528,1.253918495
NA,,Niedersachsen,Germany,16/10/2020 04:24,52.6367,9.8451,24724,710,20270,3744,"Niedersachsen, Germany",309.7295466,2.871703608
NA,,Nordrhein-Westfalen,Germany,16/10/2020 04:24,51.4332,7.6616,86315,1936,69183,15196,"Nordrhein-Westfalen, Germany",481.3287227,2.242947344
NA,,Rheinland-Pfalz,Germany,16/10/2020 04:24,50.1183,7.309,12884,262,10731,1891,"Rheinland-Pfalz, Germany",315.4098418,2.03352996
NA,,Saarland,Germany,16/10/2020 04:24,49.3964,7.023,4152,177,3345,630,"Saarland, Germany",419.1784224,4.26300578
NA,,Sachsen,Germany,16/10/2020 04:24,51.1045,13.2017,9335,255,7157,1923,"Sachsen, Germany",228.9147674,2.731655062
NA,,Sachsen-Anhalt,Germany,16/10/2020 04:24,51.9503,11.6923,3060,71,2639,350,"Sachsen-Anhalt, Germany",138.5668116,2.320261438
NA,,Schleswig-Holstein,Germany,16/10/2020 04:24,54.2194,9.6961,5510,163,4780,567,"Schleswig-Holstein, Germany",190.2156652,2.958257713
NA,,Thuringen,Germany,16/10/2020 04:24,51.011,10.8453,4711,196,4029,486,"Thuringen, Germany",219.8171379,4.160475483
NA,,Unknown,Germany,16/10/2020 04:24,NA,NA,3385,0,0,3385,"Unknown, Germany",NA,0
NA,,,Ghana,16/10/2020 04:24,7.9465,-1.0232,47173,310,46527,336,Ghana,151.8137402,0.657155576
NA,,,Greece,16/10/2020 04:24,39.0742,21.8243,23947,482,1347,22118,Greece,229.7502767,2.012778219
NA,,,Grenada,16/10/2020 04:24,12.1165,-61.679,25,0,24,1,Grenada,22.21846977,0
NA,,,Guatemala,16/10/2020 04:24,15.7835,-90.2308,99765,3453,88931,7381,Guatemala,556.8620854,3.461133664
NA,,,Guinea,16/10/2020 04:24,9.9456,-9.6966,11255,70,10360,825,Guinea,85.70150201,0.621945802
NA,,,Guinea-Bissau,16/10/2020 04:24,11.8037,-15.1804,2389,41,1782,566,Guinea-Bissau,121.3923998,1.716199247
NA,,,Guyana,16/10/2020 04:24,4.860416,-58.93018,3620,107,2522,991,Guyana,460.232481,2.955801105
NA,,,Haiti,16/10/2020 04:24,18.9712,-72.2852,8925,231,7182,1512,Haiti,78.27208218,2.588235294
NA,,,Holy See,16/10/2020 04:24,41.9029,12.4534,26,0,12,14,Holy See,3213.844252,0
NA,,,Honduras,16/10/2020 04:24,15.2,-86.2419,86089,2552,34099,49438,Honduras,869.1812942,2.964374078
NA,,,Hungary,16/10/2020 04:24,47.1625,19.5033,41732,1052,12628,28052,Hungary,431.9926297,2.520847311
NA,,,Iceland,16/10/2020 04:24,64.9631,-19.0208,3837,10,2657,1170,Iceland,1124.395604,0.260620276
NA,,Andaman and Nicobar Islands,India,16/10/2020 04:24,11.225999,92.968178,4062,55,3817,190,"Andaman and Nicobar Islands, India",974.0166317,1.354012802
NA,,Andhra Pradesh,India,16/10/2020 04:24,15.9129,79.74,771503,6357,725099,40047,"Andhra Pradesh, India",1431.269827,0.823976057
NA,,Arunachal Pradesh,India,16/10/2020 04:24,27.768456,96.384277,12971,30,9889,3052,"Arunachal Pradesh, India",825.9374017,0.231285175
NA,,Assam,India,16/10/2020 04:24,26.357149,92.830441,198982,843,169335,28804,"Assam, India",558.8277082,0.423656411
NA,,Bihar,India,16/10/2020 04:24,25.679658,85.60484,201196,972,189186,11038,"Bihar, India",161.2148392,0.483110996
NA,,Chandigarh,India,16/10/2020 04:24,30.733839,76.768278,13477,201,12232,1044,"Chandigarh, India",1163.341744,1.491429843
NA,,Chhattisgarh,India,16/10/2020 04:24,21.264705,82.035366,153515,1385,123943,28187,"Chhattisgarh, India",521.5171739,0.902191968
NA,,Dadra and Nagar Haveli and Daman and Diu,India,16/10/2020 04:24,20.194742,73.080901,3172,2,3099,71,"Dadra and Nagar Haveli and Daman and Diu, India",515.165886,0.063051702
NA,,Delhi,India,16/10/2020 04:24,28.646519,77.10898,321031,5924,292502,22605,"Delhi, India",1715.741213,1.845304659
NA,,Goa,India,16/10/2020 04:24,15.359682,74.057396,39770,525,35161,4084,"Goa, India",2507.171001,1.32009052
NA,,Gujarat,India,16/10/2020 04:24,22.694884,71.590923,156121,3606,137733,14782,"Gujarat, India",244.4263914,2.309746927
NA,,Haryana,India,16/10/2020 04:24,29.20004,76.332824,146706,1623,134719,10364,"Haryana, India",520.1474989,1.106294221
NA,,Himachal Pradesh,India,16/10/2020 04:24,31.927213,77.233081,18303,260,15389,2654,"Himachal Pradesh, India",245.6133994,1.420532153
NA,,Jammu and Kashmir,India,16/10/2020 04:24,33.75943,76.612638,86057,1358,75641,9058,"Jammu and Kashmir, India",632.4781425,1.578023868
NA,,Jharkhand,India,16/10/2020 04:24,23.654536,85.557631,94952,820,87240,6892,"Jharkhand, India",246.0282115,0.863594237
NA,,Karnataka,India,16/10/2020 04:24,14.70518,76.166436,743848,10283,620008,113557,"Karnataka, India",1100.974582,1.382406083
NA,,Kerala,India,16/10/2020 04:24,10.450898,76.405749,317929,1089,222231,94609,"Kerala, India",890.5713179,0.342529307
NA,,Ladakh,India,16/10/2020 04:24,34.1526,77.5771,5393,65,4310,1018,"Ladakh, India",1966.174364,1.205266086
NA,,Lakshadweep,India,16/10/2020 04:24,13.6999972,72.1833326,0,0,0,0,"Lakshadweep, India",0,NA
NA,,Madhya Pradesh,India,16/10/2020 04:24,23.541513,78.289633,156584,2710,139717,14157,"Madhya Pradesh, India",183.4417744,1.730700455
NA,,Maharashtra,India,16/10/2020 04:24,19.449759,76.108221,1564615,41196,1330483,192936,"Maharashtra, India",1270.554933,2.632979998
NA,,Manipur,India,16/10/2020 04:24,24.738975,93.882541,14378,104,11081,3193,"Manipur, India",465.0749059,0.723327306
NA,,Meghalaya,India,16/10/2020 04:24,25.536934,91.278882,8164,73,5646,2445,"Meghalaya, India",242.4919283,0.894169525
NA,,Mizoram,India,16/10/2020 04:24,23.309381,92.83822,2229,0,2121,108,"Mizoram, India",179.8677258,0
NA,,Nagaland,India,16/10/2020 04:24,26.06702,94.470302,7492,22,6017,1453,"Nagaland, India",333.0229209,0.293646556
NA,,Odisha,India,16/10/2020 04:24,20.505428,84.418059,262011,1089,238535,22387,"Odisha, India",565.2107865,0.415631405
NA,,Puducherry,India,16/10/2020 04:24,11.882658,78.86498,32486,570,27365,4551,"Puducherry, India",2298.198426,1.754601982
NA,,Punjab,India,16/10/2020 04:24,30.841465,75.40879,126230,3954,115186,7090,"Punjab, India",418.793132,3.132377406
NA,,Rajasthan,India,16/10/2020 04:24,26.583423,73.847973,167279,1708,143984,21587,"Rajasthan, India",206.4339738,1.021048667
NA,,Sikkim,India,16/10/2020 04:24,27.571671,88.472712,3500,59,3129,312,"Sikkim, India",507.0619239,1.685714286
NA,,Tamil Nadu,India,16/10/2020 04:24,11.006091,78.400624,674802,10472,622458,41872,"Tamil Nadu, India",866.8949338,1.55186262
NA,,Telangana,India,16/10/2020 04:24,18.1124,79.0193,219224,1256,194653,23315,"Telangana, India",556.9328877,0.572929971
NA,,Tripura,India,16/10/2020 04:24,23.746783,91.743565,29193,323,25765,3105,"Tripura, India",700.106528,1.106429624
NA,,Unknown,India,16/10/2020 04:24,NA,NA,0,0,0,0,"Unknown, India",NA,NA
NA,,Uttar Pradesh,India,16/10/2020 04:24,26.925425,80.560982,447383,6543,404545,36295,"Uttar Pradesh, India",188.0687217,1.462505281
NA,,Uttarakhand,India,16/10/2020 04:24,30.156447,79.197608,56493,814,49997,5682,"Uttarakhand, India",502.1217049,1.440886482
NA,,West Bengal,India,16/10/2020 04:24,23.814082,87.979803,309417,5870,271563,31984,"West Bengal, India",310.6306245,1.897116189
NA,,,Indonesia,16/10/2020 04:24,-0.7893,113.9213,349160,12268,273661,63231,Indonesia,127.6525949,3.513575438
NA,,,Iran,16/10/2020 04:24,32.427908,53.688046,517835,29605,418054,70176,Iran,616.5219599,5.71707204
NA,,,Iraq,16/10/2020 04:24,33.223191,43.679291,416802,10086,350752,55964,Iraq,1036.240833,2.419854031
NA,,,Ireland,16/10/2020 04:24,53.1424,-7.6921,46429,1838,23364,21227,Ireland,940.2778082,3.958732689
NA,,,Israel,16/10/2020 04:24,31.046051,34.851612,300201,2127,257226,40848,Israel,3468.310069,0.708525288
NA,,Abruzzo,Italy,16/10/2020 04:24,42.35122196,13.39843823,5648,491,3164,1993,"Abruzzo, Italy",430.6256576,8.693342776
NA,,Basilicata,Italy,16/10/2020 04:24,40.63947052,15.80514834,1112,37,536,539,"Basilicata, Italy",197.55929,3.327338129
NA,,Calabria,Italy,16/10/2020 04:24,38.90597598,16.59440194,2487,104,1524,859,"Calabria, Italy",127.7263831,4.181745074
NA,,Campania,Italy,16/10/2020 04:24,40.83956555,14.25084984,21772,496,8032,13244,"Campania, Italy",375.2698351,2.278155429
NA,,Emilia-Romagna,Italy,16/10/2020 04:24,44.49436681,11.3417208,39148,4503,27124,7521,"Emilia-Romagna, Italy",877.8607895,11.50250332
NA,,Friuli Venezia Giulia,Italy,16/10/2020 04:24,45.6494354,13.76813649,5928,358,3923,1647,"Friuli Venezia Giulia, Italy",487.8129063,6.039136302
NA,,Lazio,Italy,16/10/2020 04:24,41.89277044,12.48366722,22001,1001,9395,11605,"Lazio, Italy",374.2250916,4.549793191
NA,,Liguria,Italy,16/10/2020 04:24,44.41149315,8.9326992,16696,1626,11957,3113,"Liguria, Italy",1076.716711,9.738859607
NA,,Lombardia,Italy,16/10/2020 04:24,45.46679409,9.190347404,118711,17037,84624,17050,"Lombardia, Italy",1179.962495,14.35166076
NA,,Marche,Italy,16/10/2020 04:24,43.61675973,13.5188753,9018,992,6362,1664,"Marche, Italy",591.2391962,11.00022178
NA,,Molise,Italy,16/10/2020 04:24,41.55774754,14.65916051,843,26,566,251,"Molise, Italy",275.8354411,3.084223013
NA,,P.A. Bolzano,Italy,16/10/2020 04:24,46.49933453,11.35662422,4365,293,2879,1193,"P.A. Bolzano, Italy",819.9985723,6.712485682
NA,,P.A. Trento,Italy,16/10/2020 04:24,46.06893511,11.12123097,6604,415,5521,668,"P.A. Trento, Italy",1219.759964,6.28407026
NA,,Piemonte,Italy,16/10/2020 04:24,45.0732745,7.680687483,41074,4190,29576,7308,"Piemonte, Italy",942.8414156,10.20110045
NA,,Puglia,Italy,16/10/2020 04:24,41.12559576,16.86736689,10421,625,5387,4409,"Puglia, Italy",258.6463866,5.997505038
NA,,Sardegna,Italy,16/10/2020 04:24,39.21531192,9.110616306,5603,169,2410,3024,"Sardegna, Italy",341.731566,3.016241299
NA,,Sicilia,Italy,16/10/2020 04:24,38.11569725,13.3623567,10691,350,4854,5487,"Sicilia, Italy",213.8246614,3.273781686
NA,,Toscana,Italy,16/10/2020 04:24,43.76923077,11.25588885,20262,1185,11171,7906,"Toscana, Italy",543.269446,5.848386142
NA,,Umbria,Italy,16/10/2020 04:24,43.10675841,12.38824698,4012,91,2104,1817,"Umbria, Italy",454.8675476,2.268195414
NA,,Valle d'Aosta,Italy,16/10/2020 04:24,45.73750286,7.320149366,1633,146,1127,360,"Valle d'Aosta, Italy",1299.47639,8.940600122
NA,,Veneto,Italy,16/10/2020 04:24,45.43490485,12.33845213,33573,2237,23728,7608,"Veneto, Italy",684.3456817,6.663092366
NA,,,Jamaica,16/10/2020 04:24,18.1096,-77.2975,8067,160,3481,4426,Jamaica,272.4269298,1.983389116
NA,,Aichi,Japan,16/10/2020 04:24,35.035551,137.211621,5622,90,5258,274,"Aichi, Japan",74.44150006,1.600853789
NA,,Akita,Japan,16/10/2020 04:24,39.748679,140.408228,59,0,58,1,"Akita, Japan",6.104563938,0
NA,,Aomori,Japan,16/10/2020 04:24,40.781541,140.828896,57,1,36,20,"Aomori, Japan",4.573277138,1.754385965
NA,,Chiba,Japan,16/10/2020 04:24,35.510141,140.198917,4431,75,3986,370,"Chiba, Japan",70.78973611,1.692620176
NA,,Ehime,Japan,16/10/2020 04:24,33.624835,132.856842,115,6,108,1,"Ehime, Japan",8.587120067,5.217391304
NA,,Fukui,Japan,16/10/2020 04:24,35.846614,136.224654,250,11,234,5,"Fukui, Japan",32.55475384,4.4
NA,,Fukuoka,Japan,16/10/2020 04:24,33.526032,130.666949,5135,99,4943,93,"Fukuoka, Japan",100.6136946,1.927945472
NA,,Fukushima,Japan,16/10/2020 04:24,37.378867,140.223295,332,5,250,77,"Fukushima, Japan",17.98951948,1.506024096
NA,,Gifu,Japan,16/10/2020 04:24,35.778671,137.055925,640,10,618,12,"Gifu, Japan",32.21605699,1.5625
NA,,Gunma,Japan,16/10/2020 04:24,36.504479,138.985605,764,19,707,38,"Gunma, Japan",39.33165024,2.486910995
NA,,Hiroshima,Japan,16/10/2020 04:24,34.605309,132.788719,643,4,594,45,"Hiroshima, Japan",22.93007895,0.622083981
NA,,Hokkaido,Japan,16/10/2020 04:24,43.385711,142.552318,2449,107,2096,246,"Hokkaido, Japan",46.64718367,4.369130257
NA,,Hyogo,Japan,16/10/2020 04:24,35.039913,134.828057,2964,59,2738,167,"Hyogo, Japan",54.22424028,1.990553306
NA,,Ibaraki,Japan,16/10/2020 04:24,36.303588,140.319591,719,19,658,42,"Ibaraki, Japan",25.13716185,2.64255911
NA,,Ishikawa,Japan,16/10/2020 04:24,36.769464,136.771027,787,47,718,22,"Ishikawa, Japan",69.17775166,5.972045743
NA,,Iwate,Japan,16/10/2020 04:24,39.593287,141.361777,26,0,23,3,"Iwate, Japan",2.119307215,0
NA,,Kagawa,Japan,16/10/2020 04:24,34.217292,133.969047,98,2,91,5,"Kagawa, Japan",10.24732655,2.040816327
NA,,Kagoshima,Japan,16/10/2020 04:24,31.009484,130.430665,462,12,432,18,"Kagoshima, Japan",28.83403765,2.597402597
NA,,Kanagawa,Japan,16/10/2020 04:24,35.415312,139.338983,7767,154,7011,602,"Kanagawa, Japan",84.43980976,1.982747522
NA,,Kochi,Japan,16/10/2020 04:24,33.422519,133.367307,140,4,134,2,"Kochi, Japan",20.0564733,2.857142857
NA,,Kumamoto,Japan,16/10/2020 04:24,32.608154,130.745231,726,8,615,103,"Kumamoto, Japan",41.54347158,1.101928375
NA,,Kyoto,Japan,16/10/2020 04:24,35.253815,135.443341,1907,27,1753,127,"Kyoto, Japan",73.83011022,1.415836392
NA,,Mie,Japan,16/10/2020 04:24,34.508018,136.376013,543,6,512,25,"Mie, Japan",30.49050976,1.104972376
NA,,Miyagi,Japan,16/10/2020 04:24,38.446859,140.927086,508,2,452,54,"Miyagi, Japan",22.02600196,0.393700787
NA,,Miyazaki,Japan,16/10/2020 04:24,32.193204,131.299374,366,1,344,21,"Miyazaki, Japan",34.10040613,0.273224044
NA,,Nagano,Japan,16/10/2020 04:24,36.132134,138.045528,319,3,315,1,"Nagano, Japan",15.57016581,0.940438871
NA,,Nagasaki,Japan,16/10/2020 04:24,33.235712,129.608033,241,3,233,5,"Nagasaki, Japan",18.16778287,1.244813278
NA,,Nara,Japan,16/10/2020 04:24,34.317451,135.871644,607,9,569,29,"Nara, Japan",45.63487738,1.482701812
NA,,Niigata,Japan,16/10/2020 04:24,37.521819,138.918647,180,0,173,7,"Niigata, Japan",8.096779911,0
NA,,Oita,Japan,16/10/2020 04:24,33.200697,131.43324,158,2,155,1,"Oita, Japan",13.9153839,1.265822785
NA,,Okayama,Japan,16/10/2020 04:24,34.89246,133.826252,168,1,152,15,"Okayama, Japan",8.890836405,0.595238095
NA,,Okinawa,Japan,16/10/2020 04:24,25.768923,126.668016,2831,51,2500,280,"Okinawa, Japan",194.8157405,1.801483575
NA,,Osaka,Japan,16/10/2020 04:24,34.620965,135.507481,11361,224,10623,514,"Osaka, Japan",128.9650568,1.971657425
NA,,Port Quarantine,Japan,16/10/2020 04:24,NA,NA,1069,1,514,554,"Port Quarantine, Japan",NA,0.09354537
NA,,Saga,Japan,16/10/2020 04:24,33.286977,130.115738,247,0,248,NA,"Saga, Japan",30.31749909,0
NA,,Saitama,Japan,16/10/2020 04:24,35.997101,139.347635,5235,102,4674,459,"Saitama, Japan",71.22746488,1.948424069
NA,,Shiga,Japan,16/10/2020 04:24,35.215827,136.138064,520,8,496,16,"Shiga, Japan",36.77658859,1.538461538
NA,,Shimane,Japan,16/10/2020 04:24,35.07076,132.554064,140,0,140,0,"Shimane, Japan",20.7608557,0
NA,,Shizuoka,Japan,16/10/2020 04:24,34.916975,138.407784,572,2,556,14,"Shizuoka, Japan",15.69906969,0.34965035
NA,,Tochigi,Japan,16/10/2020 04:24,36.689912,139.819213,453,1,431,21,"Tochigi, Japan",23.42307871,0.220750552
NA,,Tokushima,Japan,16/10/2020 04:24,33.919178,134.242091,149,9,140,0,"Tokushima, Japan",20.46767961,6.040268456
NA,,Tokyo,Japan,16/10/2020 04:24,35.711343,139.446921,28433,427,25846,2160,"Tokyo, Japan",204.2503292,1.501776105
NA,,Tottori,Japan,16/10/2020 04:24,35.359069,133.863619,36,0,35,1,"Tottori, Japan",6.479971488,0
NA,,Toyama,Japan,16/10/2020 04:24,36.637464,137.269346,422,26,394,2,"Toyama, Japan",40.44074664,6.161137441
NA,,Unknown,Japan,16/10/2020 04:24,NA,NA,8,0,8,0,"Unknown, Japan",NA,0
NA,,Wakayama,Japan,16/10/2020 04:24,33.911879,135.505446,254,4,235,15,"Wakayama, Japan",27.46144856,1.57480315
NA,,Yamagata,Japan,16/10/2020 04:24,38.448396,140.102154,81,1,77,3,"Yamagata, Japan",7.516243437,1.234567901
NA,,Yamaguchi,Japan,16/10/2020 04:24,34.20119,131.573293,209,2,199,8,"Yamaguchi, Japan",15.38647286,0.956937799
NA,,Yamanashi,Japan,16/10/2020 04:24,35.612364,138.611489,199,6,190,3,"Yamanashi, Japan",24.53893923,3.015075377
NA,,,Jordan,16/10/2020 04:24,31.24,36.51,33009,282,6565,26162,Jordan,323.5180542,0.85431246
NA,,,Kazakhstan,16/10/2020 04:24,48.0196,66.9237,109202,1768,104801,2633,Kazakhstan,581.5822764,1.619017967
NA,,,Kenya,16/10/2020 04:24,-0.0236,37.9062,43143,805,31508,10830,Kenya,80.23425136,1.865887861
NA,,,"Korea, South",16/10/2020 04:24,35.907757,127.766922,25035,441,23180,1414,"Korea, South",48.83050311,1.761533853
NA,,,Kosovo,16/10/2020 04:24,42.602636,20.902977,16502,650,14514,1338,Kosovo,911.5283871,3.938916495
NA,,,Kuwait,16/10/2020 04:24,29.31166,47.481766,114015,684,105846,7485,Kuwait,2669.788503,0.599921063
NA,,,Kyrgyzstan,16/10/2020 04:24,41.20438,74.766098,50589,1099,45080,4410,Kyrgyzstan,775.4064833,2.172409022
NA,,,Laos,16/10/2020 04:24,19.85627,102.495496,23,0,22,1,Laos,0.316127042,0
NA,,,Latvia,16/10/2020 04:24,56.8796,24.6032,3056,41,1329,1686,Latvia,162.0187021,1.341623037
NA,,,Lebanon,16/10/2020 04:24,33.8547,35.8623,58745,501,25994,32250,Lebanon,860.6768617,0.852838539
NA,,,Lesotho,16/10/2020 04:24,-29.61,28.2336,1833,42,961,830,Lesotho,85.56416332,2.291325696
NA,,,Liberia,16/10/2020 04:24,6.428055,-9.429499,1374,82,1254,38,Liberia,27.16662215,5.96797671
NA,,,Libya,16/10/2020 04:24,26.3351,17.228331,46676,681,25685,20310,Libya,679.2905026,1.458993916
NA,,,Liechtenstein,16/10/2020 04:24,47.14,9.55,183,1,131,51,Liechtenstein,479.8489656,0.546448087
NA,,,Lithuania,16/10/2020 04:24,55.1694,23.8813,6760,110,2983,3667,Lithuania,248.3202567,1.627218935
NA,,,Luxembourg,16/10/2020 04:24,49.8153,6.1296,10244,133,8384,1727,Luxembourg,1636.484466,1.298320968
NA,,,MS Zaandam,16/10/2020 04:24,NA,NA,9,2,0,7,MS Zaandam,NA,22.22222222
NA,,,Madagascar,16/10/2020 04:24,-18.766947,46.869107,16754,237,16124,393,Madagascar,60.50337115,1.414587561
NA,,,Malawi,16/10/2020 04:24,-13.2543,34.3015,5836,181,4728,927,Malawi,30.50712874,3.101439342
NA,,,Malaysia,16/10/2020 04:24,4.210484,101.975766,18129,170,12014,5945,Malaysia,56.0124857,0.937724088
NA,,,Maldives,16/10/2020 04:24,3.2028,73.2207,11113,35,9931,1147,Maldives,2055.899449,0.314946459
NA,,,Mali,16/10/2020 04:24,17.570692,-3.996166,3368,132,2559,677,Mali,16.6314138,3.919239905
NA,,,Malta,16/10/2020 04:24,35.9375,14.3754,4160,45,3106,1009,Malta,942.1591298,1.081730769
NA,,,Mauritania,16/10/2020 04:24,21.0079,-10.9408,7585,163,7326,96,Mauritania,163.1302074,2.148978247
NA,,,Mauritius,16/10/2020 04:24,-20.348404,57.552152,415,10,364,41,Mauritius,32.63176352,2.409638554
NA,,Aguascalientes,Mexico,16/10/2020 04:24,21.8853,-102.2916,8134,730,6749,655,"Aguascalientes, Mexico",566.9734811,8.974674207
NA,,Baja California,Mexico,16/10/2020 04:24,30.8406,-115.2838,21444,3677,16942,825,"Baja California, Mexico",589.9526475,17.1469875
NA,,Baja California Sur,Mexico,16/10/2020 04:24,26.0444,-111.6661,11390,563,10048,779,"Baja California Sur, Mexico",1415.420252,4.942932397
NA,,Campeche,Mexico,16/10/2020 04:24,19.8301,-90.5349,6297,850,5394,53,"Campeche, Mexico",629.3117147,13.49849135
NA,,Chiapas,Mexico,16/10/2020 04:24,16.7569,-93.1292,7396,1062,6216,118,"Chiapas, Mexico",129.066777,14.35911303
NA,,Chihuahua,Mexico,16/10/2020 04:24,28.633,-106.0691,13697,1541,9859,2297,"Chihuahua, Mexico",360.3063748,11.25063883
NA,,Ciudad de Mexico,Mexico,16/10/2020 04:24,19.4326,-99.1332,143549,14236,121208,8105,"Ciudad de Mexico, Mexico",1591.691435,9.91717114
NA,,Coahuila,Mexico,16/10/2020 04:24,27.0587,-101.7068,29577,2082,25288,2207,"Coahuila, Mexico",918.9056519,7.039253474
NA,,Colima,Mexico,16/10/2020 04:24,19.1223,-104.0072,5958,640,4864,454,"Colima, Mexico",758.8329918,10.74185968
NA,,Durango,Mexico,16/10/2020 04:24,24.5593,-104.6588,10741,706,8647,1388,"Durango, Mexico",574.6935788,6.572944791
NA,,Guanajuato,Mexico,16/10/2020 04:24,21.019,-101.2574,44230,3180,39165,1885,"Guanajuato, Mexico",710.1598783,7.189690255
NA,,Guerrero,Mexico,16/10/2020 04:24,17.4392,-99.5451,20922,2032,18037,853,"Guerrero, Mexico",572.1007764,9.712264602
NA,,Hidalgo,Mexico,16/10/2020 04:24,20.0911,-98.7624,14272,2128,11488,656,"Hidalgo, Mexico",462.4136619,14.9103139
NA,,Jalisco,Mexico,16/10/2020 04:24,20.6595,-103.3494,30418,3616,24571,2231,"Jalisco, Mexico",361.7016697,11.88769807
